sku_id,warehouse_id,date,quantity_sold
SKU001,WH1,2024-12-01,47
SKU001,WH2,2024-12-01,44
SKU001,WH3,2024-12-01,48
SKU001,WH4,2024-12-01,52
SKU001,WH5,2024-12-01,44
SKU002,WH1,2024-12-01,44
SKU002,WH2,2024-12-01,53
SKU002,WH3,2024-12-01,49
SKU002,WH4,2024-12-01,42
SKU002,WH5,2024-12-01,47
SKU003,WH1,2024-12-01,42
SKU003,WH2,2024-12-01,42
SKU003,WH3,2024-12-01,46
SKU003,WH4,2024-12-01,35
SKU003,WH5,2024-12-01,36
SKU004,WH1,2024-12-01,42
SKU004,WH2,2024-12-01,40
SKU004,WH3,2024-12-01,46
SKU004,WH4,2024-12-01,40
SKU004,WH5,2024-12-01,38
SKU005,WH1,2024-12-01,52
SKU005,WH2,2024-12-01,44
SKU005,WH3,2024-12-01,45
SKU005,WH4,2024-12-01,38
SKU005,WH5,2024-12-01,42
SKU006,WH1,2024-12-01,45
SKU006,WH2,2024-12-01,39
SKU006,WH3,2024-12-01,47
SKU006,WH4,2024-12-01,42
SKU006,WH5,2024-12-01,43
SKU007,WH1,2024-12-01,42
SKU007,WH2,2024-12-01,54
SKU007,WH3,2024-12-01,45
SKU007,WH4,2024-12-01,39
SKU007,WH5,2024-12-01,49
SKU008,WH1,2024-12-01,39
SKU008,WH2,2024-12-01,46
SKU008,WH3,2024-12-01,35
SKU008,WH4,2024-12-01,38
SKU008,WH5,2024-12-01,46
SKU009,WH1,2024-12-01,48
SKU009,WH2,2024-12-01,46
SKU009,WH3,2024-12-01,44
SKU009,WH4,2024-12-01,43
SKU009,WH5,2024-12-01,37
SKU010,WH1,2024-12-01,41
SKU010,WH2,2024-12-01,42
SKU010,WH3,2024-12-01,50
SKU010,WH4,2024-12-01,46
SKU010,WH5,2024-12-01,36
SKU011,WH1,2024-12-01,46
SKU011,WH2,2024-12-01,43
SKU011,WH3,2024-12-01,41
SKU011,WH4,2024-12-01,48
SKU011,WH5,2024-12-01,50
SKU012,WH1,2024-12-01,49
SKU012,WH2,2024-12-01,41
SKU012,WH3,2024-12-01,43
SKU012,WH4,2024-12-01,46
SKU012,WH5,2024-12-01,50
SKU013,WH1,2024-12-01,42
SKU013,WH2,2024-12-01,44
SKU013,WH3,2024-12-01,39
SKU013,WH4,2024-12-01,39
SKU013,WH5,2024-12-01,49
SKU014,WH1,2024-12-01,51
SKU014,WH2,2024-12-01,44
SKU014,WH3,2024-12-01,50
SKU014,WH4,2024-12-01,47
SKU014,WH5,2024-12-01,41
SKU015,WH1,2024-12-01,47
SKU015,WH2,2024-12-01,52
SKU015,WH3,2024-12-01,45
SKU015,WH4,2024-12-01,53
SKU015,WH5,2024-12-01,32
SKU016,WH1,2024-12-01,49
SKU016,WH2,2024-12-01,45
SKU016,WH3,2024-12-01,43
SKU016,WH4,2024-12-01,45
SKU016,WH5,2024-12-01,35
SKU017,WH1,2024-12-01,44
SKU017,WH2,2024-12-01,46
SKU017,WH3,2024-12-01,52
SKU017,WH4,2024-12-01,42
SKU017,WH5,2024-12-01,41
SKU018,WH1,2024-12-01,42
SKU018,WH2,2024-12-01,49
SKU018,WH3,2024-12-01,46
SKU018,WH4,2024-12-01,42
SKU018,WH5,2024-12-01,47
SKU019,WH1,2024-12-01,45
SKU019,WH2,2024-12-01,50
SKU019,WH3,2024-12-01,41
SKU019,WH4,2024-12-01,43
SKU019,WH5,2024-12-01,43
SKU020,WH1,2024-12-01,37
SKU020,WH2,2024-12-01,46
SKU020,WH3,2024-12-01,46
SKU020,WH4,2024-12-01,45
SKU020,WH5,2024-12-01,44
SKU001,WH1,2024-12-02,38
SKU001,WH2,2024-12-02,43
SKU001,WH3,2024-12-02,43
SKU001,WH4,2024-12-02,41
SKU001,WH5,2024-12-02,44
SKU002,WH1,2024-12-02,47
SKU002,WH2,2024-12-02,54
SKU002,WH3,2024-12-02,46
SKU002,WH4,2024-12-02,46
SKU002,WH5,2024-12-02,44
SKU003,WH1,2024-12-02,35
SKU003,WH2,2024-12-02,45
SKU003,WH3,2024-12-02,45
SKU003,WH4,2024-12-02,57
SKU003,WH5,2024-12-02,44
SKU004,WH1,2024-12-02,46
SKU004,WH2,2024-12-02,45
SKU004,WH3,2024-12-02,39
SKU004,WH4,2024-12-02,51
SKU004,WH5,2024-12-02,49
SKU005,WH1,2024-12-02,49
SKU005,WH2,2024-12-02,40
SKU005,WH3,2024-12-02,52
SKU005,WH4,2024-12-02,38
SKU005,WH5,2024-12-02,48
SKU006,WH1,2024-12-02,56
SKU006,WH2,2024-12-02,40
