date,sku_id,warehouse_id,quantity_sold
2024-01-01,SKU101,WH1,29
2024-01-02,SKU101,WH1,27
2024-01-03,SKU101,WH1,29
2024-01-04,SKU101,WH1,32
2024-01-05,SKU101,WH1,27
2024-01-06,SKU101,WH1,41
2024-01-07,SKU101,WH1,46
2024-01-08,SKU101,WH1,30
2024-01-09,SKU101,WH1,26
2024-01-10,SKU101,WH1,29
2024-01-11,SKU101,WH1,26
2024-01-12,SKU101,WH1,26
2024-01-13,SKU101,WH1,42
2024-01-14,SKU101,WH1,36
2024-01-15,SKU101,WH1,22
2024-01-16,SKU101,WH1,26
2024-01-17,SKU101,WH1,24
2024-01-18,SKU101,WH1,28
2024-01-19,SKU101,WH1,25
2024-01-20,SKU101,WH1,37
2024-01-21,SKU101,WH1,46
2024-01-22,SKU101,WH1,27
2024-01-23,SKU101,WH1,28
2024-01-24,SKU101,WH1,23
2024-01-25,SKU101,WH1,26
2024-01-26,SKU101,WH1,28
2024-01-27,SKU101,WH1,38
2024-01-28,SKU101,WH1,43
2024-01-29,SKU101,WH1,26
2024-01-30,SKU101,WH1,27
2024-01-31,SKU101,WH1,26
2024-02-01,SKU101,WH1,33
2024-02-02,SKU101,WH1,27
2024-02-03,SKU101,WH1,38
2024-02-04,SKU101,WH1,44
2024-02-05,SKU101,WH1,24
2024-02-06,SKU101,WH1,28
2024-02-07,SKU101,WH1,22
2024-02-08,SKU101,WH1,24
2024-02-09,SKU101,WH1,28
2024-02-10,SKU101,WH1,44
2024-02-11,SKU101,WH1,42
2024-02-12,SKU101,WH1,27
2024-02-13,SKU101,WH1,27
2024-02-14,SKU101,WH1,23
2024-02-15,SKU101,WH1,25
2024-02-16,SKU101,WH1,26
2024-02-17,SKU101,WH1,45
2024-02-18,SKU101,WH1,43
2024-02-19,SKU101,WH1,22
2024-02-20,SKU101,WH1,28
2024-02-21,SKU101,WH1,26
2024-02-22,SKU101,WH1,25
2024-02-23,SKU101,WH1,29
2024-02-24,SKU101,WH1,45
2024-02-25,SKU101,WH1,44
2024-02-26,SKU101,WH1,25
2024-02-27,SKU101,WH1,27
2024-02-28,SKU101,WH1,28
2024-02-29,SKU101,WH1,30
2024-03-01,SKU101,WH1,26
2024-03-02,SKU101,WH1,41
2024-03-03,SKU101,WH1,38
2024-03-04,SKU101,WH1,24
2024-03-05,SKU101,WH1,30
2024-03-06,SKU101,WH1,32
2024-03-07,SKU101,WH1,27
2024-03-08,SKU101,WH1,31
2024-03-09,SKU101,WH1,43
2024-03-10,SKU101,WH1,40
2024-03-11,SKU101,WH1,29
2024-03-12,SKU101,WH1,32
2024-03-13,SKU101,WH1,27
2024-03-14,SKU101,WH1,32
2024-03-15,SKU101,WH1,20
2024-03-16,SKU101,WH1,44
2024-03-17,SKU101,WH1,42
2024-03-18,SKU101,WH1,27
2024-03-19,SKU101,WH1,28
2024-03-20,SKU101,WH1,22
2024-03-21,SKU101,WH1,27
2024-03-22,SKU101,WH1,29
2024-03-23,SKU101,WH1,46
2024-03-24,SKU101,WH1,40
2024-03-25,SKU101,WH1,25
2024-03-26,SKU101,WH1,26
2024-03-27,SKU101,WH1,30
